prob,persist,stop,tp,vol_thr,atr_max,ret_pct,win_rate_pct,trades,sharpe,max_dd_pct
0.55,1,2.0,3.0,1.2,0.9,2.6523530102782633,52.38095238095239,43,1.978778139884412,3.5534743120895773
0.55,1,2.0,4.0,1.0,0.7,5.672387351908914,53.65853658536586,42,4.134404535442789,3.025566790937617
0.55,1,2.0,4.0,1.0,0.8,5.545697239163649,51.21951219512195,42,3.8911574754940834,3.713446342836302
0.55,1,2.0,4.0,1.0,0.9,5.427474569572954,52.38095238095239,43,3.7603314110047568,3.497334313260614
0.55,1,2.0,4.0,1.05,0.7,5.530371540451684,53.65853658536586,42,4.041036251881275,3.025566790937617
0.55,1,2.0,4.0,1.05,0.8,5.876876207249593,53.65853658536586,42,4.1380443615906985,3.281337839656573
0.55,1,2.0,4.0,1.05,0.9,5.2857879026385834,52.38095238095239,43,3.671481757087809,3.497334313260614
0.55,1,2.0,4.0,1.1,0.7,4.365609524819258,51.28205128205128,40,3.2820672043430874,3.553474312089666
0.55,1,2.0,4.0,1.1,0.8,4.708289743088523,51.28205128205128,40,3.405758240982947,3.5534743120897327
0.55,1,2.0,4.0,1.1,0.9,4.123725410629531,50.0,41,2.9468243316579534,3.5534743120896883
0.55,1,2.0,4.0,1.2,0.7,3.962805395996316,54.054054054054056,38,3.0089127766368113,3.553474312089633
0.55,1,2.0,4.0,1.2,0.8,4.044962987538869,51.28205128205128,40,2.9629898193412187,3.553474312089655
0.55,1,2.0,4.0,1.2,0.9,3.464101868674563,50.0,41,2.5116503549624953,3.553474312089655
0.55,1,2.5,2.5,1.0,0.7,2.119640771157738,55.10204081632652,50,1.8178492393317318,3.7513927192285745
0.55,1,2.5,2.5,1.0,0.8,4.228041994148768,58.82352941176471,52,3.36953225741736,2.9298336529041458
0.55,1,2.5,2.5,1.0,0.9,4.111295241859625,59.61538461538461,53,3.22423228667183,2.711962830201131
0.55,1,2.5,2.5,1.05,0.7,2.119640771157738,55.10204081632652,50,1.8178492393317318,3.7513927192285745
0.55,1,2.5,2.5,1.05,0.8,4.695789789711591,60.78431372549019,52,3.7496047045220338,2.5683077474143445
0.55,1,2.5,2.5,1.05,0.9,4.111295241859625,59.61538461538461,53,3.22423228667183,2.711962830201131
0.55,1,2.5,2.5,1.1,0.7,0.9656465566369343,51.11111111111111,46,0.9230161661226083,3.5258360450186155
0.55,1,2.5,2.5,1.1,0.8,3.5126840248492774,57.446808510638306,48,2.9644926825616724,3.0987044863962643
0.55,1,2.5,2.5,1.1,0.9,2.93479450734766,56.25,49,2.4353447129700223,3.0987044863963087
0.55,1,2.5,2.5,1.2,0.7,1.9383869033574141,56.41025641025641,40,1.7031124049426865,3.553474312089644
0.55,1,2.5,2.5,1.2,0.8,3.1267019252214867,58.536585365853654,42,2.60546950641418,3.5534743120896772
0.55,1,2.5,2.5,1.2,0.9,2.55096726450299,57.14285714285714,43,2.0980482730489647,3.5534743120897105
0.55,1,2.5,3.0,1.0,0.7,2.6230888472388303,51.11111111111111,46,2.072739239866074,3.5453581376041488
0.55,1,2.5,3.0,1.0,0.8,3.357588799072375,51.11111111111111,46,2.4922687403368635,3.713446342836302
0.55,1,2.5,3.0,1.0,0.9,3.2418170491108844,52.17391304347826,47,2.3779866999329893,3.497334313260614
0.55,1,2.5,3.0,1.05,0.7,2.6230888472388303,51.11111111111111,46,2.072739239866074,3.5453581376041488
0.55,1,2.5,3.0,1.05,0.8,3.821430231670231,53.333333333333336,46,2.8305839144216933,3.281337839656573
0.55,1,2.5,3.0,1.05,0.9,3.2418170491108844,52.17391304347826,47,2.3779866999329893,3.497334313260614
0.55,1,2.5,3.0,1.1,0.7,2.455303786244989,51.11111111111111,46,1.9701719292956976,3.5258360450186155
