symbol,prob_thresh,persist,atr_stop,atr_tp,ret_pct,win_rate_pct,trades,sharpe,max_dd_pct
SOL,0.5,2,2.5,4.0,-1.364903871184342,35.294117647058826,35,-0.37296728677935664,10.716418157804252
SOL,0.5,2,2.5,5.0,-0.19734117855667588,35.294117647058826,35,0.12715724233169856,10.716418157804231
SOL,0.5,3,1.5,3.0,-7.107391097573068,31.818181818181817,67,-3.169079934272763,13.14397010591427
SOL,0.5,3,1.5,4.0,-5.252185889068716,30.357142857142854,57,-2.193038633195751,12.199212659396984
SOL,0.5,3,1.5,5.0,-3.1307354514819363,28.846153846153843,53,-1.152397656297218,11.912078004090354
SOL,0.5,3,2.0,3.0,-2.6831256421745775,37.93103448275862,59,-1.003086590725457,9.935588761463077
SOL,0.5,3,2.0,4.0,-5.839225600250808,29.545454545454547,45,-2.337899440963074,12.062402278142326
SOL,0.5,3,2.0,5.0,-3.4937352371577024,29.545454545454547,45,-1.2715701316866195,12.06240227814236
SOL,0.5,3,2.5,3.0,-1.7634156598452466,40.909090909090914,45,-0.588844273290722,8.400235163722392
SOL,0.5,3,2.5,4.0,-1.5339296422933857,34.375,33,-0.44074242389668555,10.563305074460683
SOL,0.5,3,2.5,5.0,0.5496559006483492,34.375,33,0.4383415957247504,10.56330507446076
SOL,0.55,1,1.5,3.0,-5.600247565831373,36.36363636363637,67,-2.402880022234156,13.274971280636816
SOL,0.55,1,1.5,4.0,-4.356390443943258,32.758620689655174,59,-1.7444116080829017,11.90568094649127
SOL,0.55,1,1.5,5.0,-2.923332267135026,31.48148148148148,55,-1.045838808455561,12.257913678553823
SOL,0.55,1,2.0,3.0,-0.23488772087183474,44.827586206896555,59,0.09794528633093612,10.184812811764065
SOL,0.55,1,2.0,4.0,-4.595905267999257,32.608695652173914,47,-1.7540529352377654,12.305741061759434
SOL,0.55,1,2.0,5.0,-2.927861029277179,32.608695652173914,47,-1.0138102744252584,12.30574106175929
SOL,0.55,1,2.5,3.0,0.7023430479756732,47.82608695652174,47,0.5065442572990266,8.982821114467999
SOL,0.55,1,2.5,4.0,-1.080289634700038,35.294117647058826,35,-0.24098864417851928,11.132133630274977
SOL,0.55,1,2.5,5.0,0.2810604359425595,35.294117647058826,35,0.3277740317910569,11.132133630274833
SOL,0.55,2,1.5,3.0,-6.3688296661190025,36.36363636363637,67,-2.895775718197741,12.992974466847507
SOL,0.55,2,1.5,4.0,-4.938138081030408,32.758620689655174,59,-2.055312149718954,11.693270066902105
SOL,0.55,2,1.5,5.0,-3.6970089049076837,31.48148148148148,55,-1.4059291998845773,12.213362573673592
SOL,0.55,2,2.0,3.0,-1.514129648746787,43.103448275862064,59,-0.4970212257930648,10.135291213449293
SOL,0.55,2,2.0,4.0,-5.18418593998936,32.608695652173914,47,-2.05311945617723,12.25738888434269
SOL,0.55,2,2.0,5.0,-3.709615704255942,32.608695652173914,47,-1.3681909365380294,12.257388884342713
SOL,0.55,2,2.5,3.0,-0.17891948213315523,45.65217391304348,47,0.11075421985028913,8.557051361361445
SOL,0.55,2,2.5,4.0,-1.4212345942732796,35.294117647058826,35,-0.397099867365542,10.716418157804252
SOL,0.55,2,2.5,5.0,-0.25433869929986086,35.294117647058826,35,0.10330604933665538,10.716418157804197
SOL,0.55,3,1.5,3.0,-7.175549705116191,31.818181818181817,67,-3.202667432548397,13.143970105914438
SOL,0.55,3,1.5,4.0,-5.321705726587311,30.357142857142854,57,-2.2256462200588056,12.199212659397096
SOL,0.55,3,1.5,5.0,-3.2018118725598677,28.846153846153843,53,-1.1837684988631818,11.912078004090422
SOL,0.55,3,2.0,3.0,-2.7545304904720846,37.93103448275862,59,-1.035547121122122,9.935588761462999
SOL,0.55,3,2.0,4.0,-5.90831470587635,29.545454545454547,45,-2.3690268015308615,12.062402278142425
SOL,0.55,3,2.0,5.0,-3.564545312395584,29.545454545454547,45,-1.3021976342846102,12.062402278142281
SOL,0.55,3,2.5,3.0,-1.8354953320335654,40.909090909090914,45,-0.6213311808650243,8.40023516372237
SOL,0.55,3,2.5,4.0,-1.606177696526101,34.375,33,-0.47158906078723256,10.563305074460727
SOL,0.55,3,2.5,5.0,0.4758790456749429,34.375,33,0.4078190156248086,10.56330507446076
SOL,0.6,1,1.5,3.0,-4.954832582126311,37.878787878787875,67,-2.1048062984581626,12.682028698115111
