symbol,timeframe,strategy,params,return_pct,buy_hold_pct,sharpe,max_dd_pct,trades,win_rate_pct
BTC,1h,rsi_mr,"lower=30,upper=65,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=65,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=70,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=70,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=70,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=75,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=75,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=30,upper=75,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=60,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=60,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=60,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=65,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=65,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=65,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=70,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=70,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=70,trend=100",0.0,-23.54965093952208,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=75,trend=20",0.0,-19.933744042775775,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=75,trend=50",0.0,-20.941843515787298,,-0.0,0,
BTC,1h,rsi_mr,"lower=35,upper=75,trend=100",0.0,-23.54965093952208,,-0.0,0,
SOL,15m,sma,"fast=8,slow=40",-17.008042875920005,-33.26906429527032,-29.017360909289234,-24.56369133083143,36,25.0
SOL,15m,sma,"fast=8,slow=50",-6.819379682240006,-33.300558483442146,-3.2341762988357905,-14.934496955249477,27,29.629629629629626
SOL,15m,sma,"fast=8,slow=80",-9.10774757656002,-33.45236226652017,-5.768430239435294,-16.505144170842932,17,23.52941176470588
SOL,15m,sma,"fast=8,slow=120",-2.523031694559986,-33.0689083589865,-1.1395978071427937,-11.826855108205947,13,38.46153846153847
SOL,15m,sma,"fast=8,slow=200",-7.86825083335999,-30.598297593714197,-8.361482299504779,-15.660985549708073,11,18.181818181818183
